current_path,method,router_prefix,route_path,file,line
/api/v1/services/instances/services,POST,/services/instances,/services,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/service_instances.py,45
/api/v1/services/instances/services,GET,/services/instances,/services,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/service_instances.py,67
/api/v1/services/instances/services/bulk-operation,POST,/services/instances,/services/bulk-operation,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/service_instances.py,564
/api/v1/services/instances/services/internet,POST,/services/instances,/services/internet,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/service_instances.py,284
/api/v1/services/instances/services/internet,GET,/services/instances,/services/internet,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/service_instances.py,306
/api/v1/services/instances/services/internet/{service_id},GET,/services/instances,/services/internet/{service_id},/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/service_instances.py,346
/api/v1/services/instances/services/internet/{service_id},PUT,/services/instances,/services/internet/{service_id},/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/service_instances.py,367
/api/v1/services/instances/services/internet/{service_id}/change-speed,POST,/services/instances,/services/internet/{service_id}/change-speed,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/service_instances.py,421
/api/v1/services/instances/services/internet/{service_id}/reset-fup,POST,/services/instances,/services/internet/{service_id}/reset-fup,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/service_instances.py,395
/api/v1/services/instances/services/statistics,GET,/services/instances,/services/statistics,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/service_instances.py,593
/api/v1/services/instances/services/voice,POST,/services/instances,/services/voice,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/service_instances.py,455
/api/v1/services/instances/services/voice,GET,/services/instances,/services/voice,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/service_instances.py,477
/api/v1/services/instances/services/voice/{service_id},GET,/services/instances,/services/voice/{service_id},/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/service_instances.py,511
/api/v1/services/instances/services/voice/{service_id}/add-balance,POST,/services/instances,/services/voice/{service_id}/add-balance,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/service_instances.py,532
/api/v1/services/instances/services/{service_id},GET,/services/instances,/services/{service_id},/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/service_instances.py,120
/api/v1/services/instances/services/{service_id},PUT,/services/instances,/services/{service_id},/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/service_instances.py,141
/api/v1/services/instances/services/{service_id},DELETE,/services/instances,/services/{service_id},/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/service_instances.py,169
/api/v1/services/instances/services/{service_id}/activate,POST,/services/instances,/services/{service_id}/activate,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/service_instances.py,198
/api/v1/services/instances/services/{service_id}/billing-integration,GET,/services/instances,/services/{service_id}/billing-integration,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/service_instances.py,639
/api/v1/services/instances/services/{service_id}/network-integration,GET,/services/instances,/services/{service_id}/network-integration,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/service_instances.py,660
/api/v1/services/instances/services/{service_id}/restore,POST,/services/instances,/services/{service_id}/restore,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/service_instances.py,254
/api/v1/services/instances/services/{service_id}/suspend,POST,/services/instances,/services/{service_id}/suspend,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/service_instances.py,224
/api/v1/services/instances/services/{service_id}/usage-summary,GET,/services/instances,/services/{service_id}/usage-summary,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/service_instances.py,614
/api/v1/services/internet,POST,/services,/internet/,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/services.py,39
/api/v1/services/internet,GET,/services,/internet/,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/services.py,55
/api/v1/services/internet/{service_id},GET,/services,/internet/{service_id},/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/services.py,82
/api/v1/services/internet/{service_id},PUT,/services,/internet/{service_id},/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/services.py,98
/api/v1/services/internet/{service_id},DELETE,/services,/internet/{service_id},/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/services.py,115
/api/v1/services/overview,GET,/services,/overview,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/services.py,355
/api/v1/services/plans,GET,/services/plans,/,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/service_plans.py,16
/api/v1/services/plans,POST,/services/plans,/,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/service_plans.py,40
/api/v1/services/plans/bundle,GET,/services/plans,/bundle/,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/service_plans.py,252
/api/v1/services/plans/internet,GET,/services/plans,/internet/,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/service_plans.py,212
/api/v1/services/plans/voice,GET,/services/plans,/voice/,/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/service_plans.py,232
/api/v1/services/plans/{plan_id},GET,/services/plans,/{plan_id},/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/service_plans.py,71
/api/v1/services/plans/{plan_id},PUT,/services/plans,/{plan_id},/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/service_plans.py,96
/api/v1/services/plans/{plan_id},DELETE,/services/plans,/{plan_id},/home/ispframework/projects/isp-framework/backend/app/api/v1/endpoints/service_plans.py,133
